Order_ID,Customer_ID,Customer_Name,Age,Gender,Email,Phone,City,State,Product_Category,Order_Date,Delivery_Date,Order_Amount,Payment_Status,Source_System,Last_Updated,Data_Quality_Issue,Issue_Description
ORD00025,CUST0346,Sai Chopra,0,Male,sai.chopra25@example.com,9737820059,Hyderabad,Telangana,Monitor,2025-07-14,2025-07-20,1499,Refunded,Mobile App,2025-07-22 00:00,Accuracy,Age value is outside realistic human range
ORD00026,CUST0224,Aarav Rao,30,Male,aarav.rao26@example.com,9423697713,Lucknow,Uttar Pradesh,Headphones,2025-05-03,2025-05-06,9999,Paid,CRM,2025-05-10 00:00,Clean,No intentional issue
ORD00027,CUST0615,Riya Mehta,42,Female,riya.mehta27@example.com,9875056060,Delhi,Delhi,Mobile,2025-10-31,2025-11-04,799,Failed,Call Center,2025-11-09 00:00,Clean,No intentional issue
ORD00028,CUST0552,Arjun Kumar,41,Female,arjun.kumar28@example.com,12345,Bengaluru,Karnataka,Mouse,2025-04-01,2025-04-10,39999,Failed,Call Center,2025-04-14 00:00,Believability,Phone number is not plausible
ORD00029,CUST0611,Priya Sharma,49,Female,priya.sharma29@example.com,9720907476,Bengaluru,Karnataka,Printer,2026-06-01,2026-06-06,2499,Failed,Call Center,2025-04-27 00:00,Timeliness,Order date is in the future
ORD00030,CUST0764,Rohan Kumar,62,Male,rohan.kumar30@example.com,9534327379,Pune,Kerala,Smartwatch,2025-07-08,2025-07-16,14999,Failed,Website,2025-07-19 00:00,Accuracy,City and State do not match
ORD00031,CUST0015,Pooja Patel,64,Female,pooja.patel31@example.com,9710029671,Mumbai,Maharashtra,Tablet,2025-06-01,2025-05-28,4999,Pending,CRM,2025-06-07 00:00,Believability,Delivery date is before order date
ORD00013,CUST0272,Meera Singh,22,Male,meera.singh13@example.com,9130224539,Ahmedabad,Gujarat,Smartwatch,16/10/25,2025-10-18,799,Pending,CRM,2025-10-22 00:00,Uniqueness,Duplicate record intentionally added
ORD00033,CUST0758,Meera Malhotra,46,Female,meera.malhotra33@example.com,9076202514,Lucknow,Uttar Pradesh,Mouse,2025-06-06,2025-06-16,24999,PAID,Call Center,2025-06-20 00:00,Consistency,Payment status uses inconsistent label or case
ORD00034,CUST0118,Nikhil Jain,36,Female,nikhil.jain34@example.com,9569801375,Mumbai,Maharashtra,Tablet,2026-06-06,2026-06-11,39999,Pending,Mobile App,2025-05-29 00:00,Timeliness,Order date is in the future
ORD00035,CUST0257,Sneha Patel,50,Female,sneha.patel35@example.com,9026850785,Ahmedabad,Gujarat,Mobile,2025-11-03,2025-11-04,7999,Failed,Website,2025-09-28 00:00,Timeliness,Last updated timestamp is earlier than order date
ORD00036,CUST0108,Rahul Nair,45,Female,rahul.nair36@example.com,9836298543,,Maharashtra,Printer,2025-06-28,2025-07-05,4999,Failed,Mobile App,2025-07-10 00:00,Completeness,Missing value in City
ORD00037,CUST0453,Neha Chopra,18,Female,neha.chopra37@example.com,9725946196,Kolkata,West Bengal,LPT,2025-04-07,2025-04-16,4999,Refunded,Website,2025-04-21 00:00,Interpretability,Product category is stored as unexplained code
ORD00038,CUST0734,Isha Sharma,53,Female,isha.sharma38@example.com,9274444115,Mumbai,Maharashtra,Tablet,2025-02-28,2025-03-08,799,Pending,Website,2025-03-11 00:00,Clean,No intentional issue
ORD00039,CUST0594,Kiran Das,44,Female,kiran.das39@example.com,9941535543,Jaipur,Rajasthan,Monitor,2025-01-02,2025-01-07,59999,Failed,Website,2025-01-11 00:00,Clean,No intentional issue
ORD00040,CUST0680,Rohan Nair,42,Male,rohan.nair40@example.com,9761919318,Kolkata,West Bengal,Laptop,2025-06-12,2025-06-11,59999,Refunded,CRM,2025-06-23 00:00,Believability,Delivery date is before order date
ORD00041,CUST0083,Sai Kumar,59,Male,sai.kumar41@example.com,9888337780,Mumbai,Kerala,Printer,2025-05-16,2025-05-22,24999,Refunded,CRM,2025-05-27 00:00,Accuracy,City and State do not match
ORD00042,CUST0307,Nikhil Rao,65,Male,nikhil.rao42@example.com,9907231557,Kolkata,Kerala,Mobile,2025-11-21,2025-11-23,9999,Pending,Website,2025-11-28 00:00,Accuracy,City and State do not match
ORD00043,CUST0262,Sneha Nair,61,Male,sneha.nair43@example.com,9684250992,Ahmedabad,Gujarat,SWT,2025-03-15,2025-03-19,9999,Failed,Call Center,2025-03-22 00:00,Interpretability,Product category is stored as unexplained code
ORD00015,CUST0010,Vivaan Sharma,39,Male,vivaan.sharma15@example.com,9196103540,Pune,Maharashtra,Headphones,2025-08-15,2025-08-24,59999,Refunded,Mobile App,2025-08-28 00:00,Uniqueness,Duplicate record intentionally added
ORD00045,CUST0662,Divya Das,40,Male,divya.das45@example.com,9070319342,Delhi,Delhi,Smartwatch,2025-05-09,2025-05-07,39999,Paid,Mobile App,2025-05-17 00:00,Believability,Delivery date is before order date
ORD00046,CUST0742,Kiran Malhotra,48,Female,kiran.malhotra46@example.com,12345,Chennai,Tamil Nadu,Mobile,2025-08-28,2025-08-30,999,Pending,Mobile App,2025-09-04 00:00,Believability,Phone number is not plausible
ORD00047,CUST0065,Arjun Mehta,32,Female,arjun.mehta47@example.com,9647610091,Hyderabad,Telangana,Smartwatch,2025-10-15,2025-10-21,24999,Pending,Website,2025-10-26 00:00,Clean,No intentional issue
ORD00048,CUST0631,Sai Kumar,47,Female,,9490349806,Jaipur,Rajasthan,Mouse,2025-10-28,2025-10-31,7999,Paid,Mobile App,2025-11-03 00:00,Completeness,Missing value in Email
ORD00049,CUST0579,Amit Verma,47,Male,amit.verma49@example.com,9285582775,Delhi,Delhi,Smartwatch,2025-01-11,2025-01-12,4999,Pending,Mobile App,2025-01-13 00:00,Clean,No intentional issue
ORD00050,CUST0603,Sai Reddy,52,Female,sai.reddy50@example.com,9310757475,Bengaluru,Karnataka,Mobile,2026-11-12,2026-11-17,499,Failed,CRM,2025-01-18 00:00,Timeliness,Order date is in the future
ORD00051,CUST0111,Vivaan Jain,60,Female,vivaan.jain51@example.com,9490060265,Ahmedabad,Gujarat,Laptop,2025-02-01,2025-02-09,7999,Refunded,Mobile App,2024-12-25 00:00,Timeliness,Last updated timestamp is earlier than order date
ORD00052,CUST0424,,56,Female,meera.iyer52@example.com,9344046319,Mumbai,Maharashtra,Mobile,2025-10-10,2025-10-14,7999,Refunded,CRM,2025-10-15 00:00,Completeness,Missing value in Customer_Name
ORD00053,CUST0126,Aditya Kumar,24,Female,aditya.kumar53@example.com,9489490231,Bengaluru,Karnataka,Router,2025-01-31,2025-02-10,9999999,Failed,Website,2025-02-15 00:00,Accuracy,Order amount is inaccurate or far outside expected range
ORD00054,CUST0674,Arjun Singh,53,Female,arjun.singh54@example.com,9821733085,Mumbai,Maharashtra,Monitor,2025-10-21,2025-10-25,,Paid,Call Center,2025-10-29 00:00,Completeness,Missing value in Order_Amount
ORD00055,CUST0739,Aarav Verma,65,Male,aarav.verma55@example.com,9395817004,Kolkata,West Bengal,Mouse,2025-08-21,2025-08-17,999,Failed,Call Center,2025-08-29 00:00,Believability,Delivery date is before order date
ORD00056,CUST0684,Kiran Rao,50,Male,kiran.rao56@example.com,9329029772,Chennai,Tamil Nadu,Mouse,2025-02-26,2025-03-03,,Refunded,CRM,2025-03-07 00:00,Completeness,Missing value in Order_Amount
ORD00057,CUST0407,Kavya Reddy,26,Female,kavya.reddy57@example.com,9800985574,Jaipur,Rajasthan,Tablet,2025-09-14,2025-09-23,39999,Failed,CRM,2025-08-23 00:00,Timeliness,Last updated timestamp is earlier than order date
ORD00058,CUST0081,Divya Gupta,62,Female,divya.gupta58@example.com,9333315159,mumbai,Maharashtra,Mouse,2025-02-24,2025-02-28,7999,Refunded,Mobile App,2025-03-04 00:00,Consistency,"City uses inconsistent spelling, abbreviation, or case"
ORD00059,CUST0644,Sai Rao,-5,Male,sai.rao59@example.com,9477495668,Pune,Maharashtra,Tablet,2025-03-30,2025-04-09,999,Paid,Mobile App,2025-04-10 00:00,Accuracy,Age value is outside realistic human range
ORD00060,CUST0463,Meera Mehta,37,Female,meera.mehta60@example.com,9032690535,Lucknow,Uttar Pradesh,Laptop,2025-06-30,2025-07-09,799,Failed,CRM,2025-04-07 00:00,Timeliness,Last updated timestamp is earlier than order date
ORD00015,CUST0010,Vivaan Sharma,39,Male,vivaan.sharma15@example.com,9196103540,Pune,Maharashtra,Headphones,2025-08-15,2025-08-24,59999,Refunded,Mobile App,2025-08-28 00:00,Uniqueness,Duplicate record intentionally added
ORD00062,CUST0259,Divya Sharma,58,Female,divya.sharma62@example.com,9769835139,Mumbai,Kerala,Keyboard,2025-02-18,2025-02-27,39999,Refunded,Call Center,2025-03-01 00:00,Accuracy,City and State do not match
ORD00063,CUST0371,Aditya Patel,53,Female,aditya.patel63@example.com,999999999999999,Chennai,Tamil Nadu,Headphones,2025-09-27,2025-09-29,39999,Refunded,CRM,2025-10-03 00:00,Believability,Phone number is not plausible
ORD00064,CUST0710,Neha Sharma,280,Female,neha.sharma64@example.com,9781446242,Lucknow,Uttar Pradesh,Headphones,2025-11-02,2025-11-09,999,Pending,Call Center,2025-11-10 00:00,Accuracy,Age value is outside realistic human range
ORD00065,CUST0205,Pooja Malhotra,,Female,pooja.malhotra65@example.com,9812685188,Lucknow,Uttar Pradesh,Printer,2025-08-25,2025-08-30,7999,Refunded,Mobile App,2025-08-31 00:00,Completeness,Missing value in Age
ORD00066,CUST0055,Kiran Gupta,50,Male,kiran.gupta66@example.com,9333023073,Kolkata,West Bengal,Mobile,2025-04-24,2025-05-02,1,Paid,Website,2025-05-05 00:00,Accuracy,Order amount is inaccurate or far outside expected range
ORD00067,CUST0154,Sai Das,63,Female,sai.das67@example.com,9575123047,,Gujarat,Smartwatch,2025-01-03,2025-01-05,499,Failed,Call Center,2025-01-06 00:00,Completeness,Missing value in City
ORD00068,CUST0585,Divya Iyer,19,Male,divya.iyer68@example.com,9460905595,Bengaluru,Karnataka,Monitor,2025-08-08,2025-08-09,24999,Failed,Call Center,2025-08-10 00:00,Clean,No intentional issue
ORD00069,CUST0673,Vivaan Mehta,42,Female,vivaan.mehta69@example.com,9677305817,Pune,Maharashtra,Laptop,2025-07-02,2025-07-04,4999,Pending,Call Center,2025-07-09 00:00,Clean,No intentional issue
ORD00070,CUST0043,Pooja Mehta,29,Male,pooja.mehta70@example.com,9333840628,Mumbai,Maharashtra,Printer,2025-01-19,2025-01-24,1499,Paid,CRM,2025-01-25 00:00,Clean,No intentional issue
ORD00071,CUST0709,Priya Patel,25,Female,,9495870685,Kolkata,West Bengal,Mouse,2025-08-14,2025-08-21,4999,Pending,Mobile App,2025-08-24 00:00,Completeness,Missing value in Email
ORD00072,CUST0446,Nikhil Patel,46,Female,nikhil.patel72@example.com,9299063869,Bengaluru,Karnataka,Printer,2025-06-29,2025-07-07,499,Failed,Website,2025-07-11 00:00,Clean,No intentional issue
ORD00073,CUST0158,Meera Sharma,,Male,meera.sharma73@example.com,9693755362,Delhi,Delhi,Keyboard,2025-07-05,2025-07-12,24999,Paid,CRM,2025-07-16 00:00,Completeness,Missing value in Age
ORD00074,CUST0503,Pooja Iyer,42,Male,pooja.iyer74@example.com,9210179899,Pune,Maharashtra,Monitor,17/08/25,2025-08-21,24999,Failed,Mobile App,2025-08-26 00:00,Interpretability,Date format is ambiguous
ORD00075,CUST0243,Isha Patel,37,Male,isha.patel75@example.com,9705385603,Bengaluru,Karnataka,Keyboard,2025-09-18,2025-09-13,799,Pending,Call Center,2025-09-23 00:00,Believability,Delivery date is before order date
ORD00076,CUST0444,Aditya Reddy,38,Male,aditya.reddy76@example.com,9588531929,Ahmedabad,Gujarat,Printer,2025-09-22,2025-09-28,999,Pending,Mobile App,2025-09-29 00:00,Clean,No intentional issue
ORD00077,CUST0595,Kiran Rao,58,Female,kiran.rao77@example.com,9167685800,Bengaluru,Karnataka,Monitor,11/11/25,2025-11-20,799,Pending,Mobile App,2025-11-24 00:00,Interpretability,Date format is ambiguous
ORD00078,CUST0416,Kavya Nair,58,Male,kavya.nair78@example.com,9200442637,Ahmedabad,Gujarat,Router,2025-05-29,2025-06-03,9999,Pending,Mobile App,2025-06-08 00:00,Clean,No intentional issue
ORD00079,CUST0145,Sai Das,-5,Male,sai.das79@example.com,9023628135,Chennai,Tamil Nadu,Tablet,2025-08-27,2025-08-29,2499,Refunded,Mobile App,2025-08-30 00:00,Accuracy,Age value is outside realistic human range
ORD00080,CUST0221,Neha Gupta,49,Female,neha.gupta80@example.com,9502586201,Ahmedabad,Gujarat,Laptop,2025-02-16,2025-02-23,14999,Refunded,Website,2025-02-24 00:00,Clean,No intentional issue
ORD00015,CUST0010,Vivaan Sharma,39,Male,vivaan.sharma15@example.com,9196103540,Pune,Maharashtra,Headphones,2025-08-15,2025-08-24,59999,Refunded,Mobile App,2025-08-28 00:00,Uniqueness,Duplicate record intentionally added
ORD00082,CUST0141,Isha Singh,27,Male,isha.singh82@example.com,999999999999999,Lucknow,Uttar Pradesh,Router,2025-07-25,2025-08-03,499,Paid,Mobile App,2025-08-03 00:00,Believability,Phone number is not plausible
ORD00075,CUST0243,Isha Patel,37,Male,isha.patel75@example.com,9705385603,Bengaluru,Karnataka,Keyboard,2025-09-18,2025-09-13,799,Pending,Call Center,2025-09-23 00:00,Uniqueness,Duplicate record intentionally added
ORD00084,CUST0020,Pooja Reddy,51,Female,pooja.reddy84@example.com,12345,Bengaluru,Karnataka,Tablet,2025-01-17,2025-01-27,59999,Paid,Website,2025-01-28 00:00,Believability,Phone number is not plausible
ORD00085,CUST0739,Pooja Iyer,42,Female,pooja.iyer85@example.com,9682492299,Bengaluru,Karnataka,Printer,30/09/25,2025-10-06,14999,Failed,Mobile App,2025-10-11 00:00,Interpretability,Date format is ambiguous
ORD00086,CUST0354,Pooja Singh,48,Female,pooja.singh86@example.com,9982273424,Jaipur,Rajasthan,Monitor,2025-05-28,2025-05-30,24999,Refunded,Website,2025-06-02 00:00,Clean,No intentional issue
ORD00087,CUST0686,Kiran Malhotra,53,Female,kiran.malhotra87@example.com,9922134619,Bengaluru,Karnataka,Mobile,2025-11-12,2025-11-22,1499,Pending,Website,2025-09-12 00:00,Timeliness,Last updated timestamp is earlier than order date
ORD00088,CUST0757,Pooja Mehta,30,Female,pooja.mehta88@example.com,9799181993,Chennai,Kerala,Monitor,2025-11-27,2025-11-28,799,Pending,Call Center,2025-12-02 00:00,Accuracy,City and State do not match
ORD00089,CUST0657,Nikhil Malhotra,20,Male,abc.com,9549841114,Pune,Maharashtra,Smartwatch,2025-11-05,2025-11-07,4999,Failed,Mobile App,2025-11-10 00:00,Interpretability,Email format is difficult to interpret or invalid
ORD00090,CUST0411,Nikhil Nair,61,Male,nikhil.nair90@example.com,0000000000,Bengaluru,Karnataka,Smartwatch,2025-11-24,2025-12-01,7999,Failed,Mobile App,2025-12-01 00:00,Believability,Phone number is not plausible
ORD00091,CUST0515,Kiran Mehta,41,Male,kiran.mehta91@example.com,9987669329,Hyderabad,Kerala,Mobile,2025-08-27,2025-09-01,999,Refunded,Call Center,2025-09-06 00:00,Accuracy,City and State do not match
ORD00092,CUST0721,Divya Singh,,Female,divya.singh92@example.com,9391892518,Jaipur,Rajasthan,Tablet,2025-05-07,2025-05-17,799,Refunded,Call Center,2025-05-21 00:00,Completeness,Missing value in Age
ORD00093,CUST0060,Riya Gupta,23,Female,riya.gupta93@example.com,9563020204,Hyderabad,Telangana,Printer,2025-03-09,2025-03-18,-500,Refunded,CRM,2025-03-22 00:00,Believability,Negative order amount is not believable for a normal sale
ORD00094,CUST0387,Pooja Sharma,36,Female,pooja.sharma94@example.com,9366563155,Bengaluru,Karnataka,Headphones,2025-11-25,2025-12-02,4999,Refunded,Website,2025-12-05 00:00,Clean,No intentional issue
ORD00095,CUST0283,,47,Female,aarav.patel95@example.com,9187066982,Jaipur,Rajasthan,Mouse,2025-04-28,2025-05-02,9999,Failed,CRM,2025-05-03 00:00,Completeness,Missing value in Customer_Name
ORD00096,CUST0144,Meera Nair,61,Male,meera.nair96@example.com,9528735633,Delhi,Delhi,Laptop,2025-07-25,2025-08-02,1499,Pending,Website,2025-08-02 00:00,Clean,No intentional issue
ORD00097,CUST0696,Neha Rao,44,Female,neha.rao97@example.com,9449967341,Pune,Kerala,Laptop,2025-10-13,2025-10-23,59999,Pending,Call Center,2025-10-28 00:00,Accuracy,City and State do not match
ORD00098,CUST0543,Pooja Rao,32,Female,pooja.rao98@example.com,9122698071,Bengaluru,Karnataka,Printer,2025-01-30,2025-02-08,7999,Refunded,Mobile App,2025-01-24 00:00,Timeliness,Last updated timestamp is earlier than order date
ORD00099,CUST0760,Aditya Rao,55,Male,aditya.rao99@example.com,9194262957,Ahmedabad,Gujarat,Tablet,2025-06-20,2025-06-25,499,Pending,Call Center,2025-05-11 00:00,Timeliness,Last updated timestamp is earlier than order date
ORD00100,CUST0424,Kiran Singh,50,Female,kiran.singh100@example.com,9087055721,Ahmedabad,Gujarat,Mobile,2025-08-29,2025-09-04,1499,Failed,Website,2025-06-26 00:00,Timeliness,Last updated timestamp is earlier than order date
ORD00053,CUST0126,Aditya Kumar,24,Female,aditya.kumar53@example.com,9489490231,Bengaluru,Karnataka,Router,2025-01-31,2025-02-10,9999999,Failed,Website,2025-02-15 00:00,Uniqueness,Duplicate record intentionally added
ORD00102,CUST0062,Sai Chopra,58,Male,sai.chopra102@example.com,9666440505,Mumbai,Maharashtra,Headphones,2025-01-05,2025-01-04,14999,Refunded,Mobile App,2025-01-11 00:00,Believability,Delivery date is before order date
ORD00103,CUST0635,Neha Chopra,62,Female,neha.chopra103@example.com,9582334592,Bengaluru,Karnataka,Mobile,19/02/25,2025-02-28,999,Pending,CRM,2025-03-01 00:00,Interpretability,Date format is ambiguous
ORD00104,CUST0176,Vivaan Verma,43,Female,vivaan.verma104@example.com,9086399892,Kolkata,West Bengal,Router,2025-09-01,2025-09-02,39999,paid,Call Center,2025-09-07 00:00,Consistency,Payment status uses inconsistent label or case
ORD00105,CUST0408,Kiran Malhotra,52,Male,kiran.malhotra105@example.com,9925586537,Bengaluru,Karnataka,Keyboard,2025-01-09,2025-01-08,24999,Pending,CRM,2025-01-18 00:00,Believability,Delivery date is before order date
ORD00092,CUST0721,Divya Singh,,Female,divya.singh92@example.com,9391892518,Jaipur,Rajasthan,Tablet,2025-05-07,2025-05-17,799,Refunded,Call Center,2025-05-21 00:00,Uniqueness,Duplicate record intentionally added
ORD00107,CUST0006,Aditya Verma,35,Male,aditya.verma107@example.com,9947104551,Kolkata,West Bengal,Headphones,2025-07-19,2025-07-25,4999,paid,CRM,2025-07-25 00:00,Consistency,Payment status uses inconsistent label or case
ORD00108,CUST0534,Divya Nair,38,Female,divya.nair108@example.com,9131340444,Hyderabad,Telangana,Monitor,2025-07-31,2025-08-07,799,Pending,CRM,2025-05-11 00:00,Timeliness,Last updated timestamp is earlier than order date
ORD00109,CUST0636,Pooja Nair,57,Male,pooja.nair109@example.com,9384486536,Ahmedabad,Gujarat,Mobile,2026-07-24,2026-07-29,499,Refunded,Website,2025-03-18 00:00,Timeliness,Order date is in the future
ORD00110,CUST0117,Priya Patel,65,Female,priya.patel110@example.com,9919170792,Lucknow,Uttar Pradesh,Tablet,2025-06-16,2025-06-23,2499,Refunded,Mobile App,2025-06-25 00:00,Clean,No intentional issue
ORD00111,CUST0434,Aditya Chopra,44,Female,aditya.chopra111@example.com,9709445965,Bengaluru,Karnataka,Monitor,04/05/25,2025-05-09,39999,Pending,Mobile App,2025-05-14 00:00,Interpretability,Date format is ambiguous
ORD00112,CUST0441,Divya Mehta,23,Male,divya.mehta112@example.com,9102756234,New Delhi,Delhi,Keyboard,2025-03-27,2025-04-06,499,Refunded,Website,2025-04-08 00:00,Consistency,"City uses inconsistent spelling, abbreviation, or case"
ORD00113,CUST0212,Pooja Verma,36,Female,pooja.verma113@example.com,9530740070,Mumbai,Maharashtra,Mobile,14/03/25,2025-03-20,2499,Failed,Mobile App,2025-03-23 00:00,Interpretability,Date format is ambiguous
ORD00114,CUST0238,Rahul Malhotra,65,Male,abc.com,9761637844,Jaipur,Rajasthan,Headphones,2025-10-10,2025-10-13,4999,Refunded,CRM,2025-10-16 00:00,Interpretability,Email format is difficult to interpret or invalid
ORD00115,CUST0502,Aditya Nair,24,Male,aditya.nair115@example.com,9565653868,Chennai,Tamil Nadu,Keyboard,2025-04-11,2025-04-19,799,Failed,Mobile App,2025-04-24 00:00,Clean,No intentional issue
ORD00116,CUST0711,Riya Verma,61,Male,riya.verma116@example.com,9135544599,Chennai,Tamil Nadu,Mobile,2025-05-03,2025-04-30,799,Pending,Website,2025-05-10 00:00,Believability,Delivery date is before order date
ORD00117,CUST0394,Sai Reddy,38,Female,sai.reddy117@example.com,9954648400,Lucknow,Uttar Pradesh,Laptop,2025-07-03,2025-07-04,9999,P,Website,2025-07-05 00:00,Consistency,Payment status uses inconsistent label or case
ORD00118,CUST0117,Rohan Iyer,36,Male,rohan.iyer118@example.com,9259577424,Ahmedabad,Gujarat,Smartwatch,2025-09-11,2025-09-20,14999,paid,Website,2025-09-24 00:00,Consistency,Payment status uses inconsistent label or case
ORD00119,CUST0625,Meera Patel,40,Male,meera.patel119@example.com,9611220325,Ahmedabad,Gujarat,Mobile,2025-05-02,2025-05-06,59999,Failed,Mobile App,2025-05-11 00:00,Clean,No intentional issue
ORD00120,CUST0130,Nikhil Patel,54,Female,nikhil.patel120@example.com,9711328316,Jaipur,Rajasthan,Mobile,2026-02-18,2026-02-23,499,Failed,Call Center,2025-03-23 00:00,Timeliness,Order date is in the future
ORD00121,CUST0096,Sneha Iyer,65,Female,sneha.iyer121@example.com,9746305242,CHE,Tamil Nadu,Printer,2025-09-07,2025-09-13,24999,Paid,Mobile App,2025-09-18 00:00,Consistency,"City uses inconsistent spelling, abbreviation, or case"
ORD00122,CUST0471,Priya Iyer,54,Male,priya.iyer122@example.com,9091494998,Lucknow,Uttar Pradesh,Printer,2025-06-25,2025-06-26,9999999,Paid,Mobile App,2025-07-01 00:00,Accuracy,Order amount is inaccurate or far outside expected range
